name,crossing_number,strands,braid_word,jones_q,raw_braid_notation,raw_jones_t,comparable
12n_801,12,4,"[1, 2, -1, 2, 3, -2, 1, 3, 2, -3, 2, 3, 3]",q**2+ q**3-q**4+ 2*q**5-3*q**6+ 3*q**7-4*q**8+ 3*q**9-2*q**10+ q**11,"[1,2,-1,2,3,-2,1,3,2,-3,2,3,3]",t^2+ t^3-t^4+ 2*t^5-3*t^6+ 3*t^7-4*t^8+ 3*t^9-2*t^10+ t^11,true
12n_802,12,4,"[-1, 2, -3, -1, 2, 2, -3, -3, -2, 3, -2, 3, 3]",-2*q**(-5)+ 6*q**(-4)-11*q**(-3)+ 16*q**(-2)-19*q**(-1)+ 21-18*q+ 14*q**2-9*q**3+ 4*q**4-q**5,"[-1,2,-3,-1,2,2,-3,-3,-2,3,-2,3,3]",-2*t^(-5)+ 6*t^(-4)-11*t^(-3)+ 16*t^(-2)-19*t^(-1)+ 21-18*t+ 14*t^2-9*t^3+ 4*t^4-t^5,true
12n_803,12,4,"[1, -2, 3, 1, -2, 3, 3, -2, 3, 3, -2, 3, 2]",-q**(-1)+ 4-8*q+ 12*q**2-15*q**3+ 18*q**4-16*q**5+ 14*q**6-10*q**7+ 5*q**8-2*q**9,"[1,-2,3,1,-2,3,3,-2,3,3,-2,3,2]",-t^(-1)+ 4-8*t+ 12*t^2-15*t^3+ 18*t^4-16*t^5+ 14*t^6-10*t^7+ 5*t^8-2*t^9,true
12n_804,12,4,"[1, -2, -2, 3, 1, 3, 2, 2, 2, -3, 1, -2, -2]",q**(-3)-3*q**(-2)+ 7*q**(-1)-10+ 14*q-16*q**2+ 15*q**3-13*q**4+ 9*q**5-5*q**6+ 2*q**7,"[1,-2,-2,3,1,3,2,2,2,-3,1,-2,-2]",t^(-3)-3*t^(-2)+ 7*t^(-1)-10+ 14*t-16*t^2+ 15*t^3-13*t^4+ 9*t^5-5*t^6+ 2*t^7,true
12n_805,12,5,"[1, -2, -3, 1, 2, 3, 4, -3, 2, -3, 4, -3, -3, 2]",q**(-4)-3*q**(-3)+ 7*q**(-2)-10*q**(-1)+ 13-14*q+ 13*q**2-11*q**3+ 7*q**4-4*q**5+ 2*q**6,"[1,-2,-3,1,2,3,4,-3,2,-3,4,-3,-3,2]",t^(-4)-3*t^(-3)+ 7*t^(-2)-10*t^(-1)+ 13-14*t+ 13*t^2-11*t^3+ 7*t^4-4*t^5+ 2*t^6,true
12n_806,12,4,"[1, 1, 2, 2, 1, 1, -2, -3, 2, -1, 2, 3, 3, 2, 2]",q**3-3*q**4+ 7*q**5-8*q**6+ 11*q**7-11*q**8+ 9*q**9-8*q**10+ 4*q**11-q**12,"[1,1,2,2,1,1,-2,-3,2,-1,2,3,3,2,2]",t^3-3*t^4+ 7*t^5-8*t^6+ 11*t^7-11*t^8+ 9*t^9-8*t^10+ 4*t^11-t^12,true
12n_807,12,4,"[1, -2, 1, 2, 3, 2, -1, 3, 2, -3, 2, 3, 3]",3*q**2-5*q**3+ 8*q**4-10*q**5+ 10*q**6-9*q**7+ 7*q**8-4*q**9+ q**10,"[1,-2,1,2,3,2,-1,3,2,-3,2,3,3]",3*t^2-5*t^3+ 8*t^4-10*t^5+ 10*t^6-9*t^7+ 7*t^8-4*t^9+ t^10,true
12n_808,12,4,"[-1, -2, -3, -3, 2, 2, -1, 2, 3, 3, 2, 2, 3]",q**(-2)-q**(-1)+ 2*q-4*q**2+ 6*q**3-6*q**4+ 6*q**5-5*q**6+ 3*q**7-q**8,"[-1,-2,-3,-3,2,2,-1,2,3,3,2,2,3]",t^(-2)-t^(-1)+ 2*t-4*t^2+ 6*t^3-6*t^4+ 6*t^5-5*t^6+ 3*t^7-t^8,true
12n_809,12,5,"[-1, 2, 3, 4, -1, 2, 2, 2, -3, 2, -3, -2, 4, -2, 3, 2]",q**(-2)-q**(-1)+ 1+ q-2*q**2+ 3*q**3-4*q**4+ 3*q**5-3*q**6+ 2*q**7,"[-1,2,3,4,-1,2,2,2,-3,2,-3,-2,4,-2,3,2]",t^(-2)-t^(-1)+ 1+ t-2*t^2+ 3*t^3-4*t^4+ 3*t^5-3*t^6+ 2*t^7,true
12n_81,12,4,"[-1, 3, 3, -1, 2, 2, -3, 2, 1, 1, 1, 2, 2]",2*q**2-4*q**3+ 9*q**4-13*q**5+ 16*q**6-17*q**7+ 15*q**8-12*q**9+ 8*q**10-4*q**11+ q**12,"[-1,3,3,-1,2,2,-3,2,1,1,1,2,2]",2*t^2-4*t^3+ 9*t^4-13*t^5+ 16*t^6-17*t^7+ 15*t^8-12*t^9+ 8*t^10-4*t^11+ t^12,true
